Timestamp,What is your first favorite ice cream flavor?,What is your second favorite ice cream flavor?,What is your third favorite ice cream flavor?
2021/10/18 12:52:58 PM GMT+5:30,coffee,cookies and cream,mint chocolate chip
2021/10/18 12:57:21 PM GMT+5:30,Chocolate chip cookie dough,Mint chocolate,Vanilla with chocolate syrup
2021/10/18 12:57:52 PM GMT+5:30,coffee,choclate,vanilla
2021/10/18 12:58:01 PM GMT+5:30,Cookies and Cream,Coffee,Tiramisu
2021/10/18 12:58:12 PM GMT+5:30,death by chcoclate,chocolate chip cookie dough,mint chip
2021/10/18 12:58:38 PM GMT+5:30,chocolate,hazelnut,phish food
2021/10/18 12:58:48 PM GMT+5:30,chocolate,cookie dough,cookies and cream
2021/10/18 12:59:36 PM GMT+5:30,Cookie Dough,Coffee,Mint Chocolate Chip
2021/10/18 1:05:48 PM GMT+5:30,Mint Chocolate Chip,Raspberry,Chocolate
2021/10/18 1:07:30 PM GMT+5:30,cotton candy,chocolate,cookie dough
2021/10/18 1:12:04 PM GMT+5:30,Strawberry,Mint Chocolate Chip,Chocolate
2021/10/18 1:14:37 PM GMT+5:30,Tiramisu,Chocolate,Butterscotch
2021/10/18 1:14:39 PM GMT+5:30,coffee,matcha,mint
2021/10/18 1:14:45 PM GMT+5:30,cookie dough,raspberry sorbet,mint chip
2021/10/18 1:14:50 PM GMT+5:30,Mint w/o Chocolate Chips,Banana,Strawberry
2021/10/18 1:15:09 PM GMT+5:30,Coffee,Cookie dough,Vanilla
2021/10/18 1:17:06 PM GMT+5:30,Strawberry,Mango,Lemon ice
2021/10/18 1:17:31 PM GMT+5:30,peppermint,chocolate,vanilla
2021/10/18 1:18:07 PM GMT+5:30,green tea,vanilla,cookies and cream
2021/10/18 1:23:35 PM GMT+5:30,Chocolate,Vanilla,Strawberry
2021/10/18 1:24:07 PM GMT+5:30,passion fruit,coconut,mango
2021/10/18 1:24:53 PM GMT+5:30,cookie dough,coffee,vanilla
2021/10/18 1:25:24 PM GMT+5:30,mint chocolate chip,cookie dough,vanilla
2021/10/18 1:26:01 PM GMT+5:30,Ben & Jerry's Phish Food,Cherry Garcia,Mint Chocolate Chip
2021/10/18 1:26:24 PM GMT+5:30,Birthday Cake,strawberry,chocolate
2021/10/18 1:26:45 PM GMT+5:30,Mint Chocolate Chip,Half Baked,Chocolate
2021/10/18 1:27:52 PM GMT+5:30,coffee,rocky road,bubble gum
2021/10/18 1:28:43 PM GMT+5:30,Strawberry,Vanilla,Chocolate
2021/10/18 1:29:08 PM GMT+5:30,Oreo,Cookie Dough,Red Velvet
2021/10/18 1:29:36 PM GMT+5:30,chocolate,birthday cake,vanilla
2021/10/18 1:30:41 PM GMT+5:30,Chunky Monkey,Mint Chocolate Chip,Coffee
2021/10/18 1:31:08 PM GMT+5:30,Yam,Vanilla,Oreo
2021/10/18 1:31:31 PM GMT+5:30,cherry,Matcha,Chocolate
2021/10/18 1:31:51 PM GMT+5:30,Strawberry,Vanilla,chocolate chip
2021/10/18 1:32:24 PM GMT+5:30,dulce de leche,Vanilla,Coffee
2021/10/18 1:33:21 PM GMT+5:30,Vanilla,Banana,Strawberry
2021/10/18 1:33:47 PM GMT+5:30,Cookie Dough,Cookies and Cream,Triple Fudge Brownie
2021/10/18 1:34:32 PM GMT+5:30,Vanilla,Mocha,Strawberry
2021/10/18 1:35:01 PM GMT+5:30,Butter Pecan,Cotton Candy,Mango
2021/10/18 1:35:38 PM GMT+5:30,Turtle,Cookies and Cream,Vanilla
2021/10/18 1:36:00 PM GMT+5:30,Strawberry,Mint-Chocolate Chip,Vanilla
2021/10/18 1:36:24 PM GMT+5:30,Cookie Dough,Cookies + Cream,Vanilla
2021/10/18 1:36:45 PM GMT+5:30,Chocolate,Mint-Chocolate Chip,Cookie Dough
2021/10/18 1:37:21 PM GMT+5:30,Mint,Strawberry,Vanilla
2021/10/18 1:37:47 PM GMT+5:30,Mint Chocolate Chip,Coffee,Dulche de Leche
2021/10/18 1:38:13 PM GMT+5:30,Chocolate mint chip,Chocolate,Strawberry
2021/10/18 1:38:38 PM GMT+5:30,Vanilla,Cookie Dough,chocolate chip
2021/10/18 1:39:00 PM GMT+5:30,Vanilla,Cookies & Cream,sherbert
2021/10/18 1:39:18 PM GMT+5:30,Vietnamese Coffee,Vanilla,Cookies and Cream
2021/10/18 1:39:42 PM GMT+5:30,Vanilla,Strawberry,chocolate
2021/10/18 1:40:04 PM GMT+5:30,chocolate chip mint,Caramel,Cotton Candy
2021/10/18 1:40:22 PM GMT+5:30,Mint Chocolate Chip,Cookies and Creme,Oreo
2021/10/18 1:40:45 PM GMT+5:30,Chocolate,Vanilla,Strawberry
2021/10/18 1:41:05 PM GMT+5:30,chocolate brownie/cookie dough,Cookies & Cream,Salted Caramel
2021/10/18 1:41:47 PM GMT+5:30,Birthday Cake,Vanilla,Cookies and Cream
2021/10/18 1:42:09 PM GMT+5:30,Coffee,Mint Chip,Vanilla
2021/10/18 1:42:46 PM GMT+5:30,Ginger,Mint Chocolate Chip,Pistachio
2021/10/18 1:43:05 PM GMT+5:30,mocha chip,Oreo,cherry garcia
2021/10/18 1:43:25 PM GMT+5:30,Vanilla,Strawberry,Cookie Dough
2021/10/18 1:43:52 PM GMT+5:30,mint oreo,Coffee,peanut butter oreo
